#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
Rancho Santa Margarita	NNP
RAND Corporation	NNP
Rand McNally	NNP
Range Rover	NNP
Rank and Filed	NNP
Rapid Cycle Solutions	NNP
Raspberry Pi	NNP
ratio decidendi	NN
rationes decidendi	NNS
Ray Ban	NNP
Real Madrid	NNP
Reckitt Benckiser	NNP
Red Bull	NNP
Red Bulls	NNPS
Red Hat	NNP
Red Sox	NNP
reductio ad absurdum	NN
Reed Elsevier	NNP
Reese Witherspoon	NNP
REI Systems	NNP
Relationship Science	NNP
René Descartes	NNP
res ipsa loquitor	NN:U
res judicata	NN
res judicatae	NNS
restitutio ad integrum	_multiword_
restitutio in integrum	_multiword_
Reynolds County	NNP
Rezolve Group	NNP
Richard Gere	NNP
Richard Nixon	NNP
Rikers Island	NNP
Ringo Starr	NNP
Rio de Janeiro	NNP
Rio Grande	NNP
Rio Grande do Norte	NNP
Rio Grande do Sul	NNP
Rita Hayworth	NNP
Rita Ora	NNP
Rivet Software	NNP
Roadify Transit	NNP
Roald Dahl	NNP
Rob Kardashian	NNP
Robert De Niro	NNP
Robert Downey Jr	NNP
Robert Downey Jr.	NNP
Robert Koch	NNP
Robert Lewandowski	NNP
Robert Louis Stevenson	NNP
Robert Schumann	NNP
Robin Hood	NNP
Robin Williams	NNP
Robinson + Yu	NNP
Rockaway Beach	NNP
Rocket Internet	NNP
Rocket League	NNP
Rockstar Games	NNP
Rockstar Energy	NNP
Roger Federer	NNP
Roger Moore	NNP
Rolling Stones	NNP
roman à clef	NN
roman à thèse	NN
romans à clef	NNS
Ron Klain	NNP
Ronald Klain	NNP
Ronald Reagan	NNP
Rosa Parks	NNP
#rosehip tea	NNP
rosehip teas	NNS
Rosetta Stone	NNP
Rotten Tomatoes	NNP
Round Stones	NNP
Royal Air Maroc	NNP
Royal Bank of Canada	NNP
Royal Canin	NNP
Royal Dutch Shell	NNP
Royal Enfield	NNP
#rsvp'd	NNP
Ruby on Rails	NNP
Rudolf Carnap	NNP
Rudolf Diesel	NNP
Russell Crowe	NNP
Russell Investments	NNP
Russia Today	NNP
Río de Janeiro	NNP
S&P 500	NNP
S&P Capital IQ	NNP
Sacramento Kings	NNP
sacré bleu	UH
Sage Bionetworks	NNP
Saks Fifth Avenue	NNP
#salade niçoise	NNP
salades niçoises	NNS
Sally Field	NNP
Salma Hayek	NNP
Salon des Refusés	NNP
Salvador Dalí	NNP
Sam Cooke	NNP
Samsung Galaxy	NNP
Samuel L. Jackson	NNP
Samuel Leroy Jackson	NNP
Samuel Morse	NNP
San Antonio Spurs	NNP
San Clemente	NNP
San Dimas	NNP
San Francisco Chronicle	NNP
San Jacinto	NNP
San José	NNP
San Luis Río Colorado	NNP
San Pellegrino	NNP
San Ysidro	NNP
sans souci	_multiword_
Santa Ana	NNP
Santa Clarita	NNP
Santa Fe	NNP
Satya Nadella	NNP
Saudi Aramco	NNP
Saul Kripke	NNP
Sauratown Mountains	NNP
Savile Row	NNP
savoir faire	NN:U
Scale Unlimited	NNP
Scania AB	NNP
Scarlett Johansson	NNP
Schitt's Creek	NNP
Schneider Electric	NNP
Science Exchange	NNP
Scott Fitzgerald	NNP
Sean Connery	NNP
Sean Penn	NNP
Secret Escapes	NNP
Selena Gomez	NNP
Sergey Brin	NNP
Serie A	NNP
Serie B	NNP
serrates|serrating	NNP
Seth Rogen	NNP
Seven Up	NNP
Shankill Road	NNP
Sheffield Hallam	NNP
Sherlock Holmes	NNP
Shirley Temple	NNP
Shockwave Flash	NNP
sic transit gloria mundi	_multiword_
Siddhārtha Gautama	NNP
Sidney Poitier	NNP
Sierra Leone	NNP
Sierra Nevada de Santa Marta	NNP
Sigourney Weaver	NNP
Silicon Valley	NNP
Simi Valley	NNP
Simon & Garfunkel	NNP
Simon and Garfunkel	NNP
Simone de Beauvoir	NNP
Simple Energy	NNP
sine qua nons	NNS
Singapore Airlines	NNP
Sinn Féin	NNP
Sketch Engine	NNP
Sky News	NNP
Skyway Airlines	NNP
Skyway Bridge	NNP
Smart Forfour	NNP
smart forfour	NNP
Smart Fortwo	NNP
smart fortwo	NNP
Smart Utility Systems	NNP
Snoop Dogg	NNP
Social Explorer	NNP
Social Health Insights	NNP
Société Générale	NNP
Solar Census	NNP
son et lumière	NN
Sony Pictures	NNP
Sony Pictures Television	NNP
Sophia Loren	NNP
Sophic Systems Alliance	NNP
Sophie Scholl	NNP
Sotheby's	NNP
#sotto voce	NNP
South Dumdum	NNP
South Ossetia	NNP
Southwest Airlines	NNP
Spencer Tracy	NNP
SpeSo Health	NNP
Spice Girls	NNP
Spiegel Magazine	NNP
Spiegel Online	NNP
Spikes Cavell Analytic	NNP
spina bifida	NN:U
SpongeBob SquarePants	NNP
St. Croix	NNP
St. Gallen	NNP
Stack Overflow	NNP
Stamen Design	NNP
Standard and Poor's	NNP
Stanley Kubrick	NNP
STAR Bharat	NNP
Star Trek	NNP
Star Wars	NNP
stare decisis	NN:U
State Farm Insurance	NNP
Steffi Graf	NNP
Sterling Infosystems	NNP
Steve Aoki	NNP
Steve Ballmer	NNP
Steve Jobs	NNP
Steve Wozniak	NNP
Steven Spielberg	NNP
Stevens Worldwide Van Lines	NNP
Stevie Wonder	NNP
Stieg Larsson	NNP
Stranger Things	NNP
StreamLink Software	NNP
StreetCred Software	NNP
sub judice	JJ
#sub rosa	NNP
Subaru Legacy	NNP
sui generis	JJ
sui juris	JJ
Suisun Bay	NNP
Sulu Sea	NNP
#summa cum laude	NNP
Sun Microsystems	NNP
Suncor Energy	NNP
Super Bowl	NNP
Super Bowl LIII	NNP
Super Bowl LIV	NNP
Super Bowl LV	NNP
Super Bowl XLIV	NNP
Super Mario Kart	NNP
Super Nintendo	NNP
Surface Pro	NNP
Swiss Life	NNP
Swiss Re	NNP
Sylvester Stallone	NNP
São Luis	NNP
São Paulo	NNP
São Tomé	NNP
São Tomé and Príncipe	NNP
Søren Kierkegaard	NNP
table d'hôte	NN
Tableau Software	NNP
tables d'hôte	NNS
tabula rasa	NN
Taco Bell	NNP
TAG Heuer	NNP
Tamil Nadu	NNP
Tannum Sands	NNP
tant mieux	UH
tant pis	UH
Taos County	NNP
TAP Air	NNP
Tata Motors	NNP
Tata Steel	NNP
Ted Cruz	NNP
Tel Aviv	NNP
tempus fugit	UH
Terence Hill	NNP
terra firma	NN:U
terra incognita	NN:U
terra nullius	NN:U
terrae incognitae	NNS
Texas Instruments	NNP
TeXstudio 	NNP
The Advisory Board Company	NNP
the Baltics	NNP
The Baltics	NNP
The Beatles	NNP
The Big Bang Theory	NNP
The Boston Globe	NNP
The Bridgespan Group	NNP
The Daily Mail	NNP
The Daily Telegraph	NNP
The DocGraph Journal	NNP
The Economic Times	NNP
The Financial Times	NNP
The Globe and Mail	NNP
The Govtech Fund	NNP
The Guardian	NNP
The Independent	NNP
The Legend of Zelda	NNP
the Monkees	NNP
The Monkees	NNP
The Nikkei	NNP
The Notorious B.I.G.	NNP
The Rock	NNP
The Schork Report	NNP
The Simpsons	NNP
The Vampire Diaries	NNP
Vanguard Group	NNP
The Walking Dead	NNP
The Wall Street Journal	NNP
Theodor W. Adorno	NNP
Think Computer Corporation	NNP
Thomas Aquinas	NNP
Thomas Edison	NNP
Thomas Hobbes	NNP
Thomas Mann	NNP
Thomson Reuters	NNP
Tim Allen	NNP
Tim Berners-Lee	NNP
Tim Hortons	NNP
Times New Roman	NNP
Tina Turner	NNP
tió de Nadal	NNP
Tom Brady	NNP
Tom Cruise	NNP
Tom Ford	NNP
Tom Hanks	NNP
Tom Hardy	NNP
Tom Petty	NNP
Tommy Hilfiger	NNP
Tommy Lee Jones	NNP
Tony Blair	NNP
Tony Hawk	NNP
Tony Stark	NNP
Toronto Blueshirts	NNP
Toronto Raptors	NNP
Touch ID	NNP
tour de force	NN
Tour de France	NNP
tout de suite	RB
tout le monde	NN
Toyota Prius	NNP
Trader Joe's	NNP
Travis CI	NNP
très chic	_multiword_
Três Lagoas	NNP
Tsinghua University	NNP
Tuatha Dé Danann	NNP
TUI Airways	NNP
Tupac Shakur	NNP
Turkish Airlines	NNP
Táin Bó Cúailnge	NNP
Uber Eats	NNP
#ultra vires	NNP
Uma Thurman	NNP
Unigo LLC	NNP
United Airlines	NNP
United Mayflower	NNP
Universal Music	NNP
Universal Music Group	NNP
Universal Pictures	NNP
Universal Studios	NNP
unkindnesses of ravens	NNS
Unreal Engine	NNP
Unreal Tournament	NNP
Urban Airship	NNP
Urban Mapping	NNP
Urbi et orbi	_multiword_
urbi et orbi	_multiword_
US Green Data	NNP
USA Today	NNP
USAA Group	NNP
Usain Bolt	NNP
Utah Jazz	NNP
Uttar Pradesh	NNP
Valdes Island	NNP
Valdes Peninsula	NNP
van Gogh	NNP
Van Halen	NNP
Van Helsing	NNP
Van Nuys	NNP
Vanilla Ice	NNP
Vanity Fair	NNP
Vasco da Gama	NNP
Veliko Tărnovo	NNP
Vendée Globe	NNP
veni, vidi, vici	NNP
Vero Beach	NNP
Victor Hugo	NNP
victor ludorum	NN
vide supra	_multiword_
Villa Rica	NNP
Villa Rican	NNP
Vin Diesel	NNP
Viola Davis	NNP
Virginia Woolf	NNP
virgo intacta	_multiword_
Visual Studio	NNP
#viva voce	NNP
vive la différence	UH
Vivien Leigh	NNP
volenti non fit injuria	_multiword_
Von Kármán vortex street	NN
Von Kármán vortex streets	NNS
von Neumann	NNP
vox populi	NN:U
VS Code	NNP
Vue.js	NNP
Völuspá hin skamma	NNP
Wagga Wagga	NNP
Walgreens Boots	NNP
Walgreens Boots Alliance	NNP
Walk Score	NNP
Wall Street Journal	NNP
Walt Disney	NNP
Walt Disney World	NNP
Walt Whitman	NNP
Warner Bros	NNP
Warren Buffett	NNP
Washington Post	NNP
Washington Wizards	NNP
WaterSmart Software	NNP
Way Better Patents	NNP
Wear OS	NNP
Weather Channel	NNP
Weather Decision Technologies	NNP
Weather Underground	NNP
Webby Award	NNP
Webby Awards	NNP
Weight Watchers	NNP
Wells Fargo	NNP
Wen Jiabao	NNP
Werner Heisenberg	NNP
West Bromwich	NNP
West Covina	NNP
Western Digital	NNP
Western Union	NNP
Westwood One	NNP
Wheaton World Wide Moving	NNP
Whitby Group	NNP
White Sox	NNP
Whitney Houston	NNP
Wiener Neustadt	NNP
Wikidata 	NNP
Wilhelm Röntgen	NNP
Will Smith	NNP
will.i.am	NNP
Will.i.am	NNP
Willard Van Orman Quine	NNP
William Barr	NNP
William Faulkner	NNP
William James	NNP
William Shakespeare	NNP
Willy Brandt	NNP
Willy Wonka	NNP
Wim Wenders	NNP
Windows 10 Pro	NNP
Windows 7 Ultimate	NNP
Windows Live	NNP
Windows Vista	NNP
Windows XP	NNP
Winston Churchill	NNP
Wiz Khalifa	NNP
Wolfgang Amadeus Mozart	NNP
Wolfram Mathematica	NNP
Wolfram Research	NNP
Wolters Kluwer	NNP
Wonder Woman	NNP
Woody Guthrie	NNP
Woody Harrelson	NNP
World of Warcraft	NNP
World Trade Center	NNP
Wyckoff Heights	NNP
Wyclef Jean	NNP
Xbox Live	NNP
Xbox One	NNP
Xbox Series S	NNP
Xbox Series X	NNP
Xi Jinping	NNP
Xiao Xiao	NNP
Y Combinator	NNP
Yad Vashem	NNP
yerba maté	NN:U
Yves Saint Laurent	NNP
Zac Efron	NNP
Zagros Airlines	NNP
Zagros Mountains	NNP
Zagros TV	NNP
Zebu Compliance Solutions	NNP
Zee Anmol	NNP
Zee TV	NNP
Zinedine Zidane	NNP
Zlatan Ibrahimović	NNP
Zurich Insurance	NNP
Zyklon B	NNP
à contre coeur	RB
à contrecoeur	RB
à contrecœur	RB
à deux	RB
à gogo	JJ
à huis clos	_multiword_
à la carte	JJ
Áed Ruad	NNP
Áed Rúad	NNP
éminence grise	NN
éminences grises	NNS
🤦🏻‍♂️	_multiword_
Oprah Winfrey	NNP
Winona Ryder	NNP
Borussia Mönchengladbach	NNP
Alaska Airlines	NNP
JetBlue Airways	NNP
Shenzhen Airlines	NNP
Hainan Airlines	NNP
Atlantic City	NNP
Lion Air	NNP
Air Canada	NNP
Goo Goo Dolls	NNPS
Eva Longoria	NNP
MacKenzie Scott	NNP
Angry Birds	NNP
Crash Bandicoot	NNP
pentosan polysulfate	NN:U
pentosan polysulphate	NN:U
Vantage Towers	NNP
Orlando Bloom	NNP
Arizona Daily Sun	NNP
Max Verstappen	NNP
Boko Haram	NNP
Nez Perce	NNP
Shiba Inu	NNP
Shiba Inus	NNPS
Chakri Day	NNP
Chakri Memorial Day	NNP
Tartan Day	NNP
Betty Shabazz	NNP
Canis Major	NNP
Canis Minor	NNP
Alpha Canis Majoris	NNP
Alpha Canis Minoris	NNP
Hillside Strangler	NNP
Hillside Stranglers	NNPS
Ally McBeal	NNP
Rémy Martin	NNP
Digital Ocean	NNP
Jason Sudeikis	NNP
Juno Temple	NNP
Otto Beisheim	NNP
Kenny Chesney	NNP
Kenny Rogers	NNP
René Goscinny	NNP
Albert Uderzo	NNP
Scotland Yard	NNP
Reed Hastings	NNP
Percy Jackson	NNP
Ted Lasso	NNP
Guillermo Lasso	NNP
Sagrada Família	NNP
Matt Gaetz	NNP
Liz Cheney	NNP
Gwen Stefani	NNP
Stefan Löfven	NNP
Evander Holyfield	NNP
Roland Emmerich	NNP
López Obrador	NNP
Iván Duque	NNP
Ait Menguellet	NNP
Belaid Ait Ali	NNP
Isleworth Ait	NNP
Lounis Ait Menguellet	NNP
Oliver's Ait	NNP
One Over the Ait	NNP
Holiday on Ice	NNP
Daunte Wright	NNP
ABC News	NNP
Monterey Park	NNP
King of the Hill	NNP
Stripe Connect	NNP
Air Independence	NNP
Air Maroc	NNP
Royal Air Maroc	NNP
Writers Guild of America	NNP
salicylic acid	NN:U
Thermo Fisher	NNP
Thermo Fisher Scientific	NNP
Nielsen NetRatings	NNP
Nielsen Media Research	NNP
WPS Office	NNP
Armin Laschet	NNP
Annalena Baerbock	NNP
Olaf Scholz	NNP
Carly Rae Jepsen	NNP
Diodorus Siculus	NNP
Estratégia Nacional de Defesa	NNP
The Dosadi Experiment	NNP
Tim Ferriss	NNP
Joe Rogan	NNP
Mount Meron	NNP
Lag B'Omer	NNP
Derek Chauvin	NNP
Castro Valley	NNP
pad thai	NN:U
Geert Hofstede	NNP
Eugène Delacroix	NNP
Northrop Grumman	NNP
Chipotle Mexican Grill	NNP
CME Group	NNP
John Wayne Gacy	NNP
Rodrigo Duterte	NNP
succinic acid	NN:U
succinic anhydride	NN:U
succinic oxidase	NN:U
Carlyle Group	NNP
Eros Ramazzotti	NNP
Sundar Pichai	NNP
Sheryl Sandberg	NNP
Ted Bundy	NNP
Carnegie Mellon	NNP
Dhul Hijjah	NNP
Eid al-Fitr	NNP
Eid al-Adha	NNP
Phnom Penh	NNP
Gaza City	NNP
Khan Yunis	NNP
Beit Lahia	NNP
Deir al-Balah	NNP
Bani Suheila	NNP
Tel Aviv-Yafo	NNP
Rishon LeZion	NNP
Bnei Brak	NNP
Ramat Gan	NNP
Beit Shemesh	NNP
Kfar Saba	NNP
Kefar Sava	NNP
Bruce Norris	NNP
Clybourne Park	NNP
Ferruccio Lamborghini	NNP
Ferruccio Busoni	NNP
Levi Strauss	NNP
Gardner Museum	NNP
Paramount Pictures	NNP
Barry Callebaut	NNP
Cyclone Tauktae	NNP
Michael Peña	NNP
Bob Ross	NNP
Google Lens	NNP
Naomi Campbell	NNP
Minh Mạng	NNP
Minh Tuyết	NNP
Bitcoin Cash	NNP
Les Bleus	NNPS
Jason Momoa	NNP
Amber Heard	NNP
Willem Dafoe	NNP
Kate Beckinsale	NNP
Saint Pölten	NNP
Saint Moritz	NNP
Wiener Neustadt	NNP
Peter Dinklage	NNP
Bruce Lee	NNP
Pan Am	NNP
Atlanta Braves	NNPS
Freistaat Bayern	NNP
Wilhelm Wien	NNP
Byron Wien	NNP
Bayern Munich	NNP
FC Bayern Munich	NNP
Austria Wien	NNP
Rapid Wien	NNP
Alessandra Ambrosio	NNP
Adriana Lima	NNP
Candice Swanepoel	NNP
Jet Li	NNP
Rod Laver	NNP
Didier Deschamps	NNP
Patrice Evra	NNP
Tesla Roadster	NNP
Lori Lightfoot	NNP
Mayor Lightfoot	NNP
Carnegie Hall	NNP
Abu Zubaydah	NNP
Henri-Louis Bergson	NNP
Neil Patrick Harris	NNP
Jason Segel	NNP
Cobie Smulders	NNP
Josh Radnor	NNP
James Franco	NNP
Tara Reid	NNP
Jason Biggs	NNP
Evo Morales	NNP
Charles Michel	NNP
Park Güell	NNP
Basílica de la Sagrada Família	NNP
La Sagrada Familia	NNP
Sagrada Família Basilica	NNP
Wang Yi	NNP
Parc Güell	NNP
Reconciliation Day	NNP
Ray Dalio	NNP
Mats Hummels	NNP
Thomas Müller	NNP
Air France-KLM	NNP
Édouard Manet	NNP
Andrea del Verrocchio	NNP
Jack Dorsey	NNP
Paul Allen	NNP
Charles Manson	NNP
Marilyn Manson	NNP
Dean Martin	NNP
NY City Ballet	NNP
Diners Club	NNP
Hasso Plattner	NNP
Matthew Perry	NNP
Lake Maggiore	NNP
SUSE Linux	NNP
SuSE Linux	NNP
Arch Linux	NNP
David Duchovny	NNP
Gillian Anderson	NNP
Beavis and Butt-Head	NNP
Beavis and Butthead	NNP
Greg Heffley	NNP
Carl Icahn	NNP
Mukesh Ambani	NNP
Amancio Ortega	NNP
Carlos Slim	NNP
Mark Benioff	NNP
Nicola Sturgeon	NNP
Aegadian Islands	NNPS
Zack Snyder	NNP
Lee Harvey Oswald	NNP
Bayern München	NNP
Giovanni Cassini	NNP
Christiaan Huygens	NNP
Jas Hennessy	NNP
AMD Ryzen	NNP
cannabis indica	NN:U
Jack Herer	NNP
Bryan Cranston	NNP
Larry Fink	NNP
Corriere della Sera	NNP
Corriere dello Sport	NNP
Copa América	NNP
Åland Islands	NNPS
Carlo Ancelotti	NNP
Thomas Tuchel	NNP
Antonio Conte	NNP
Diego Simeone	NNP
Movimento 5 Stelle	NNP
Samsung Electronics	NNP
Bocconi University	NNP
SDA Bocconi	NNP
Carl Walther	NNP
Van der Bellen	NNP
Sebastian Kurz	NNP
BMW Group	NNP
VW Group	NNP
Volkswagen Group	NNP
VW Jetta	NNP
Diners Club International	NNP
Jack the Ripper	NNP
Matt LeBlanc	NNP
Sarah's Scribbles	NNP
Boom Supersonic	NNP
J.Lo	NNP
J. Lo	NNP
PSV Eindhoven	NNP
New York Mercantile Exchange	NNP
Theodor Litt	NNP
Bam Margera	NNP
Louis Litt	NNP
Harvey Specter	NNP
Johnny Knoxville	NNP
Naftali Bennett	NNP
Eric Cantona	NNP
Dr. Dre	NNP
Sophie Marceau	NNP
Boba Fett	NNP
Logan Paul	NNP
German Marshall Fund	NNP
Novak Djokovic	NNP
Novak Đoković	NNP
Qualys SSL	NNP
Patriarca Square	NNP
Paulo Mendes da Rocha	NNP
Sun Yat-sen	NNP
Mao Zedong	NNP
Qianmen Gate	NNP
Amazon Sidewalk	NNP
Champions Hockey League	NNP
Adolphe Thiers	NNP
Gary Lineker	NNP
Amazon Instant Video	NNP
Spike Lee	NNP
Apple Pages	NNP
The Batman	NNP
Son of Sam	NNP
Tim Cook	NNP
CC BY-SA	NNP
The Carlyle Group	NNP
Isabella Stewart Gardner Museum	NNP
Google Slides	NNP
Google Assistant	NNP
Let's Encrypt	NNP
Hobbs & Shaw	NNP
Mies van der Rohe	NNP
van der Rohe	NNP
Alexander Van der Bellen	NNP
Twitter Blue	NNP
Samsung Galaxy Buds	NNPS
Galaxy Buds	NNPS
Core Web Vitals	NNPS
Global Times	NNP
People's Daily	NNP
Fast Company	NNP
Jefferson Davis	NNP
Morning Brew	NNP
Ferdinand Porsche	NNP
Carla Bruni	NNP
Kara Swisher	NNP
Scott Galloway	NNP
Marco Reus	NNP
Leroy Sané	NNP
Toni Kroos	NNP
Serge Gnabry	NNP
Adam Mosseri	NNP
Antonio Vivaldi	NNP
Evan Spiegel	NNP
Breitbart News	NNP
Ferruccio Lamborghini	NNP
Daniel Kehlmann	NNP
Patrick Süskind	NNP
Spring Boot	NNP
HCL Domino	NNP
HCL Notes	NNP
Lotus Notes	NNP
Amazon Basics	NNP
Kai Havertz	NNP
Martin Fowler	NNP
Michel Platini	NNP
Équipe Tricolore	NNP
Gianni Infantino	NNP
Being John Malkovich	NNP
aloe vera	NN:UN
aloe veras	NNS
Parc La Grange	NNP
Villa La Grange	NNP
Hall of Famer	NNP
Hall of Famers	NNPS
Alexander De Croo	NNP
De Croo	NNP
Yair Lapid	NNP
Jens Stoltenberg	NNP
Campo Bahia	NNP
Prince Boateng	NNP
Paul Pogba	NNP
Craig Federighi	NNP
Anne Hidalgo	NNP
Le Pen	NNP
Marine Le Pen	NNP
sodium laureth sulfate	NN:U
sodium lauryl sulfate	NN:U
eau de parfum	NN:U
glyceryl cocoate	NN:U
coco glucoside	NN:UN
coco glucosides	NNS
disodium laureth sulfosuccinate	NN:U
potassium sorbate	NN
potassium sorbates	NNS
Amazon Studios	NNP
Prime Day	NNP
Writers Guild of America	NNP
Leni Riefenstahl	NNP
Romelu Lukaku	NNP
par avance	UH
Fête de la Musique	NNP
Eva Green	NNP
Kit Kat	NNP
Kit Kats	NNPS
Eric Cartman	NNP
Square Enix	NNP
Luka Modrić	NNP
Harry Kane	NNP
Ivan Perišić	NNP
Eden Hazard	NNP
Carl Nassib	NNP
Briggs & Stratton	NNP
Leon Goretzka	NNP
Mika Häkkinen	NNP
Carlos Ghosn	NNP
Jianfeng Zhang	NNP
Michael Evans	NNP
AWS Fargate	NNP
Lady Di	NNP
Grupo Bimbo	NNP
Grupo Opaia	NNP
Grupo Breca	NNP
Grupo Cisneros	NNP
Grupo Globo	NNP
Grupo Modelo	NNP
Grupo Vidanta	NNP
Umm al Qaywayn	NNP
Umm al-Qaiwain	NNP
Wanda Maximoff	NNP
La Libertad	NNP
San Martín	NNP
Madre de Dios	NNP
Puerto Maldonado	NNP
San Vicente de Cañete	NNP
Puente Alto	NNP
Viña del Mar	NNP
Las Condes	NNP
San Bernardo	NNP
Lo Barnechea	NNP
Alto Hospicio	NNP
La Reina	NNP
Diego Forlán	NNP
Jonas Brothers	NNPS
Raheem Sterling	NNP
Copa del Rey	NNP
Lina Khan	NNP
Harriet Martineau	NNP
Alex Karp	NNP
Škoda Enyaq	NNP
Škoda Octavia	NNP
Škoda Superb	NNP
Hyannis Port	NNP
LanguageTooler GmbH	NNP
Office Open XML	NNP
ad astra per aspera	UH
per aspera ad astra	UH
sic itur ad astra	UH
Johan Cruyff	NNP
de Vries	NNP
Peter R. de Vries	NNP
Peter de Vries	NNP
HyperText Markup Language	NNP
Google Keyword Planner	NNP
Azur Games	NNP
Fiat Ducato	NNP
NY City	NNP
Pedro Sánchez	NNP
Obi-Wan Kenobi	NNP
Anakin Skywalker	NNP
Robb Report	NNP
Bentley Bentayga	NNP
Luisa Neubauer	NNP
Joe Kaeser	NNP
Heinrich Böll	NNP
Roberto Mancini	NNP
Supercoppa Italiana	NNP
Reggio Calabria	NNP
Reggio di Calabria	NNP
Reggio Emilia	NNP
Reggio di Emilia	NNP
Trentino-Alto Adige	NNP
La Spezia	NNP
Guidonia Montecelio	NNP
Torre del Greco	NNP
Busto Arsizio	NNP
Sesto San Giovanni	NNP
Lamezia Terme	NNP
Cinisello Balsamo	NNP
erythorbic acid	NN:U
java.util	NNP
Felix Jaehn	NNP
Toyota Supra	NNP
Warburg Pincus	NNP
Toyota Proace Verso	NNP
Toyota Proace	NNP
Toyota Yaris	NNP
Toyota Auris	NNP
Toyota Corolla	NNP
Toyota Avensis	NNP
Renault Clio	NNP
Vauxhall Corsa	NNP
Fiat Panda	NNP
Dacia Sandero	NNP
Sex Pistols	NNPS
Evel Knievel	NNP
Doctor Zhivago	NNP
Frank-Walter Steinmeier	NNP
SC Johnson	NNP
S. C. Johnson	NNP
Tobias Lütke	NNP
Martin Sorrell	NNP
NSO Group	NNP
Akio Toyoda	NNP
Thomas Bach	NNP
Sakichi Toyoda	NNP
Río Negro	NNP
Rio Negro	NNP
Chester Bennington	NNP
Aquidneck Island	NNP
Bank of Marin	NNP
Karine Jean-Pierre	NNP
Vinny Testaverde	NNP
Anders Behring Breivik	NNP
Anders Breivik	NNP
above all	RB
Above All	RB
after all	RB
After All	RB
all of a sudden	RB
All Of A Sudden	RB
All of a Sudden	RB
all the same	RB
All The Same	RB
All the Same	RB
as a matter of fact	RB
As A Matter Of Fact	RB
As a Matter of Fact	RB
as soon as possible	RB
As Soon As Possible	RB
at any rate	RB
At Any Rate	RB
at the fairground	RB
At The Fairground	RB
At the Fairground	RB
at the moment	RB
At The Moment	RB
At the Moment	RB
before long	RB
Before Long	RB
by far	RB
By Far	RB
by no means	RB
By No Means	RB
by the way	RB
By The Way	RB
By the Way	RB
far and wide	RB
Far And Wide	RB
Far and Wide	RB
in a while	RB
In A While	RB
In a While	RB
just a bit	RB
Just A Bit	RB
Just a Bit	RB
slightly close	RB
Slightly Close	RB
surprisingly well	RB
Surprisingly Well	RB
upside down	RB
Upside Down	RB
Pretty Good Privacy	NNP
ZZ Top	NNP
Isar Aerospace	NNP
Luca de Meo	NNP
S.à r.l.	NNP
Süper Lig	NNP
Pink Floyd	NNP
Harry Houdini	NNP
Kylian Mbappé	NNP
Samuel Adams	NNP
John Hancock	NNP
Kevin McCarthy	NNP
Franka Potente	NNP
Fetty Wap	NNP
Candida albicans	NNP
C. albicans	NNP
Ursus arctos	NNP
San Gimignano	NNP
Martin Luther King	NNP
Allied Oil & Gas	NNP
American Electric Power Service	NNP
Travis Kalanick	NNP
Susan Wojcicki	NNP
Suicide Squad	NNP
Anna Paquin	NNP
Adam Beach	NNP
Christina Applegate	NNP
HTW Berlin	NNP
Hugh Hefner	NNP
Hugh Grant	NNP
Sonic Youth	NNP
Kenny Chesney	NNP
Renée Zellweger	NNP
Patrick Dempsey	NNP
Jim Carrey	NNP
Keanu Reeves	NNP
Bridget Jones	NNP
Leah Remini	NNP
Kevin James	NNP
Jerry Stiller	NNP
Ben Stiller	NNP
Katherine Heigl	NNP
Yoshihide Suga	NNP
Ponte Vecchio	NNP
Fraser Perring	NNP
Giovanni Ferrero	NNP
Abdul Ghani Baradar	NNP
Ghani Baradar	NNP
Sorrentine Peninsula	NNP
Sorrento Peninsula	NNP
Santa Maria del Fiore	NNP
Port Moresby	NNP
Salpointe Catholic High School	NNP
Alvaro Uribe Velez	NNP
Uribe Velez	NNP
Simone Biles	NNP
John Kirby	NNP
Kyoko Kirigiri	NNP
Raksha Bandhan	NNP
Bang Bros	NNP
Liu Xiaobo	NNP
George Lucas	NNP
Indiana Jones	NNP
Hachette Livre	NNP
Harper Collins	NNP
Springer Nature	NNP
Stade de Reims	NNP
Dave Grohl	NNP
Janis Joplin	NNP
Parc du Cinquantenaire	NNP
Hurricane Ida	NNP
New Line Cinema	NNP
Adult Swim	NNP
HBO Max	NNP
Rooster Teeth	NNP
Tiger Global	NNP
Albert Speer	NNP
Rudolf Hess	NNP
Lashkar Gah	NNP
Elizabeth Holmes	NNP
Jolly Jumper	NNP
Warby Parker	NNP
Gene Simmons	NNP
Adobe Creative Cloud	NNP
Lorem ipsum dolor sit amet	UH
New Hampshirite	NNP
New Hampshirites	NNPS
Amy Klobuchar	NNP
Meg Ryan	NNP
Stan Laurel	NNP
Oliver Hardy	NNP
Stan Lee	NNP
Aleksander Čeferin	NNP
